2θ (°),I (count),σ (count),,
11.645,390,19.7,,
11.660,398,19.9,,
11.675,427,20.7,,
11.690,411,20.3,,
11.705,384,19.6,,
11.720,360,19.0,,
11.735,387,19.7,,
11.750,389,19.7,,
11.765,418,20.4,,
11.780,412,20.3,,
11.795,409,20.2,,
11.810,395,19.9,,
11.825,399,20.0,,
11.840,380,19.5,,
11.855,397,19.9,,
11.870,396,19.9,,
11.885,406,20.1,,
11.900,401,20.0,,
11.915,390,19.7,,
11.930,373,19.3,,
11.945,390,19.7,,
11.960,381,19.5,,
11.975,398,19.9,,
11.990,401,20.0,,
12.005,378,19.4,,
12.020,396,19.9,,
12.035,406,20.1,,
12.050,390,19.7,,
12.065,395,19.9,,
12.080,404,20.1,,
12.095,403,20.1,,
12.110,406,20.1,,
12.125,420,20.5,,
12.140,467,21.6,,
12.155,456,21.4,,
12.170,452,21.3,,
12.185,518,22.8,,
12.200,521,22.8,,
12.215,591,24.3,,
12.230,689,26.2,,
12.245,734,27.1,,
12.260,805,28.4,,
12.275,887,29.8,,
12.290,998,31.6,,
12.305,1094,33.1,,
12.320,1246,35.3,,
12.335,1524,39.0,,
12.350,1827,42.7,,
12.365,2213,47.0,,
12.380,2724,52.2,,
12.395,3331,57.7,,
12.410,3818,61.8,,
12.425,3851,62.1,,
12.440,3428,58.5,,
12.455,2528,50.3,,
12.470,1689,41.1,,
12.485,1060,32.6,,
12.500,688,26.2,,
12.515,532,23.1,,
12.530,470,21.7,,
12.545,447,21.1,,
12.560,413,20.3,,
12.575,401,20.0,,
12.590,387,19.7,,
12.605,413,20.3,,
12.620,393,19.8,,
12.635,381,19.5,,
12.650,382,19.5,,
12.665,401,20.0,,
12.680,379,19.5,,
12.695,388,19.7,,
12.710,376,19.4,,
12.725,390,19.7,,
12.740,366,19.1,,
12.755,402,20.0,,
12.770,389,19.7,,
12.785,402,20.0,,
12.800,372,19.3,,
12.815,358,18.9,,
12.830,354,18.8,,
12.845,351,18.7,,
12.860,377,19.4,,
12.875,414,20.3,,
12.890,396,19.9,,
12.905,369,19.2,,
12.920,373,19.3,,
12.935,399,20.0,,
12.950,381,19.5,,
12.965,366,19.1,,
12.980,369,19.2,,
12.995,363,19.1,,
13.010,390,19.7,,
13.025,377,19.4,,
13.040,413,20.3,,
13.055,369,19.2,,
13.070,360,19.0,,
13.085,331,18.2,,
13.100,339,18.4,,
13.115,356,18.9,,
13.130,366,19.1,,
13.145,406,20.1,,
13.160,350,18.7,,
13.175,375,19.4,,
13.190,400,20.0,,
13.205,400,20.0,,
13.220,367,19.2,,
13.235,344,18.5,,
13.250,346,18.6,,
13.265,367,19.2,,
13.280,358,18.9,,
13.295,365,19.1,,
13.310,384,19.6,,
13.325,339,18.4,,
13.340,376,19.4,,
13.355,360,19.0,,
13.370,358,18.9,,
13.385,357,18.9,,
13.400,351,18.7,,
13.415,359,18.9,,
13.430,384,19.6,,
13.445,352,18.8,,
13.460,361,19.0,,
13.475,362,19.0,,
13.490,331,18.2,,
13.505,348,18.7,,
13.520,378,19.4,,
13.535,361,19.0,,
13.550,359,18.9,,
13.565,353,18.8,,
13.580,343,18.5,,
13.595,343,18.5,,
13.610,332,18.2,,
13.625,376,19.4,,
13.640,365,19.1,,
13.655,371,19.3,,
13.670,340,18.4,,
13.685,383,19.6,,
